ligand,pose,affinity_kcal_mol,rmsd_lb,rmsd_ub,crystal_rmsd,docking_score_efficiency,num_heavy_atoms,consensus_rank,runtime_s,backend,error
xk2_redock,1,-11.129,0.000,0.000,0.836,-0.2419,46,,463.8,python,
xk2_redock,2,-11.043,1.328,9.888,0.970,-0.2401,46,,463.8,python,
xk2_redock,3,-9.908,1.631,4.911,1.544,-0.2154,46,,463.8,python,
xk2_redock,4,-9.807,1.438,9.217,3.877,-0.2132,46,,463.8,python,
xk2_redock,5,-9.649,1.657,8.918,1.460,-0.2098,46,,463.8,python,
xk2_redock,6,-9.369,1.564,5.163,1.276,-0.2037,46,,463.8,python,
xk2_redock,7,-9.117,1.853,7.496,5.069,-0.1982,46,,463.8,python,
xk2_redock,8,-8.940,4.556,8.371,2.597,-0.1943,46,,463.8,python,
xk2_redock,9,-8.880,1.683,9.427,3.481,-0.1930,46,,463.8,python,
aspirin_decoy,1,-5.468,0.000,0.000,,-0.4206,13,,7.8,python,
aspirin_decoy,2,-5.458,6.182,7.098,,-0.4198,13,,7.8,python,
aspirin_decoy,3,-5.425,4.345,5.763,,-0.4173,13,,7.8,python,
aspirin_decoy,4,-5.363,1.567,3.280,,-0.4125,13,,7.8,python,
aspirin_decoy,5,-5.352,6.996,8.354,,-0.4117,13,,7.8,python,
aspirin_decoy,6,-5.339,5.281,5.882,,-0.4107,13,,7.8,python,
aspirin_decoy,7,-5.287,10.233,12.076,,-0.4067,13,,7.8,python,
aspirin_decoy,8,-5.245,10.035,11.473,,-0.4035,13,,7.8,python,
aspirin_decoy,9,-5.174,6.185,7.472,,-0.3980,13,,7.8,python,
caffeine_decoy,1,-5.435,0.000,0.000,,-0.3882,14,,3.6,python,
caffeine_decoy,2,-5.430,7.109,9.470,,-0.3879,14,,3.6,python,
caffeine_decoy,3,-5.419,1.737,3.531,,-0.3871,14,,3.6,python,
caffeine_decoy,4,-5.404,7.088,10.097,,-0.3860,14,,3.6,python,
caffeine_decoy,5,-5.367,1.681,3.787,,-0.3834,14,,3.6,python,
caffeine_decoy,6,-5.360,1.394,2.988,,-0.3829,14,,3.6,python,
caffeine_decoy,7,-5.338,8.473,10.561,,-0.3813,14,,3.6,python,
caffeine_decoy,8,-5.325,6.824,9.270,,-0.3804,14,,3.6,python,
caffeine_decoy,9,-5.318,7.081,8.846,,-0.3799,14,,3.6,python,
